Name,Initial Stock
ADRIANO,5
AGNALDO,1
ALAN,5
ALBERTO,4
ALEX,4
ALEXANDRE,6
ALISSON,5
ANDERSON,4
ANDRE,6
ANTONIO,5
ARTHUR,11
ARTUR,9
AUGUSTO,3
BENEDITO,3
BENICIO,5
BENJAMIN,1
BENTO,3
BERNARDO,2
BRENO,8
BRUNO,12
CAIO,11
CAIQUE,3
CARLOS,5
CASSIO,1
CAUA,2
CELSO,1
CESAR,7
CICERO,2
CLAUDIO,8
DANIEL,7
DANILO,1
DAVI,8
DAVID,9
DIEGO,7
DIOGO,5
DOUGLAS,3
EDGAR,2
EDMILSON,4
EDSON,2
EDUARDO,9
ELIAS,2
EMANUEL,5
EMERSON,3
ENZO,4
ERICK,5
ERICO,1
EUGENIO,3
EVANDRO,3
FABIANO,5
FABIO,7
FABRICIO,6
FAGNER,6
FELIPE,6
FELIX,1
FERNANDO,6
FLAVIO,4
FRANCISCO,5
FREDERICO,4
GABRIEL,7
GAEL,4
GEORGE,1
GEOVANE,0
GERALDO,3
GETULIO,0
GIL,2
GILBERTO,4
GILMAR,2
GILSON,3
GILVAN,1
GIOVANE,0
GUILHERME,9
GUSTAVO,9
HEITOR,3
HELIO,3
HENRIQUE,7
HUGO,3
HUMBERTO,3
IAGO,4
ICARO,2
IGOR,3
ISAAC,2
ISRAEL,3
ITALO,3
IVAN,2
IVO,1
JAIR,1
JEAN,2
JEOVA,1
JOAO,10
JOAQUIM,5
JONAS,2
JONATHAN,6
JOHN,3
JORGE,6
JOSE,10
JOSIAS,1
JOSUE,2
JUAN,3
JUAREZ,3
JULIO,2
JUNIOR,7
KAIQUE,2
KAUA,3
KAUE,2
KLEBER,2
LEANDRO,5
LEO,3
LEONARDO,6
LEVI,1
LORENZO,1
LOURENCO,0
LUAN,5
LUCAS,11
LUCIANO,1
LUCIO,1
LUIS,6
LUIZ,10
MAICON,1
MANOEL,4
MANUEL,2
MARCELO,5
MARCIO,6
MARCOS,9
MARIO,3
MATEUS,8
MATHEUS,14
MAURICIO,5
MAURO,4
MIGUEL,8
MOISES,1
MURILO,3
NATAN,4
NATHAN,6
NELSON,3
NETO,8
NICOLAS,6
NOAH,2
OSVALDO,2
OTAVIO,2
PABLO,4
PAULO,7
PEDRO,4
RAFAEL,5
RAUL,2
RAVI,1
RAIMUNDO,3
REGINALDO,2
REINALDO,3
RENAN,5
RENATO,8
RICARDO,6
ROBERTO,5
RODOLFO,3
RODRIGO,12
ROGERIO,4
RONALDO,2
RUAN,2
SAMUEL,1
SANDRO,2
SAULO,2
SERGIO,4
SEBASTIAO,2
SEVERINO,2
SILVIO,3
THEO,4
THIAGO,9
TIAGO,8
VICENTE,3
VICTOR,6
VINICIUS,5
VITOR,1
WANDERLEY,1
WILLIAM,1
WILLIAN,2
WILIAM,2
YAGO,3
YURI,3
